ID,sentences,label
171,Solar panels and recycled asphalt were incorporated to make the structure more environmentally friendly.,thing
172,"""Brae"" is the Lowland Scots word for the slope or brow of a hill.",thing
173,"Katherine brought her four children Edward, Arthur, Katherine and Ann to the marriage.",person
174,"The name ""Baidicheng"" literally means White Emperor City.",place
175,Another cause of brittleness is the use of data structures that restrict values.,idea
176,A stent was fitted to open up the blockages.,thing
177,We appreciate your cooperation Mr Doe.,person
178,A kind of angry smile just dawns upon her face.,idea
179,It is twenty-five minutes after its time this afternoon.,idea
180,The Heritage Museum of Northwest Florida is located in Valparaiso.,place
181,Hallbeck had previously been a guest illustrator for over a year.,person
182,"They are often narrow circular rings made from metal, or less commonly, plastic.",thing
183,Computer keyboards contain membranes with printed circuits that sense when a key is pressed.,thing
184,The station also airs community announcements for no fee.,place
185,"Following the Hellmouth's closure, hundreds of potential slayers have been awakened.",idea
186,"When heated before the blowpipe it decrepitates violently, breaking up into white pearly scales.",thing
187,The king goes to see and find the leper there.,person
188,Later Maria Theresa arranged for it to be rebuilt in late Baroque style.,idea
189,His first education was in the field of medicine.,idea
190,Bibi was wounded and died of her injuries in the hospital emergency room.,person
191,He is thought to have died in the battle for Staraya Russa.,place
192,As a solo artist he writes all his songs.,person
193,"With time, this process leads to a mushy surface layer, known as grease ice.",thing
194,This pitch stood on the site of the present-day Wardlaw Street and Wardlaw Terrace.,place
195,"During this scene, Tigger teaches Roo the awesome Whoop-de-Dooper-Loop-de-Looper-Alley-Ooper Bounce.",idea
196,"He went to Tuskegee Institute, where he learned printing as a trade.",place
197,Kedre Fairley and Doctor Napoleon Saunders are the vice principals.,person
198,"Amongst his apprentices was Edmund Morison Wimperis, who became a notable watercolour landscape painter.",person
199,Maurice protects Lulu and brings her home.,person
200,The classification scheme used on the arXiv is chosen to reflect the papers submitted.,idea
201,Until today they own large areas of property around Nablus and Jenin.,place
202,Genres describe those works which share specific conventions.,idea
203,I looked surprised and inquisitive.,not applicable
204,The Chippewa River is a popular destination for recreational kayakers and canoers.,place
205,"Unlike many other Tong killings, Gee and Sing were apprehended.",person
206,The user interface was made up of text.,thing
207,Sullivan's life has long been intimately linked with William and Mary.,person
208,The Tui Tonga decline began due to numerous wars and internal pressure.,idea
209,King Kartavirya Arjuna sent his soldiers to take the cow.,person
210,Those studies which have been done have largely been of low quality.,idea
211,Calumet Heights was swampy and relatively unoccupied throughout the nineteenth century.,place
212,Golden Wonder now produces a number of different flavours of potato crisp.,thing
213,Experienced and internationally recognized professionals staff the Centre.,idea
214,"Hamilton was born in Fulham, southwest London.",person
215,Party systems can be distinguished by the effective number of parties.,idea
216,Opening of the Imperial diet.,idea
217,I can't wait!,idea
218,She was really fond of her work colleagues.,person
219,He was awarded a first-class degree from the University of Cambridge,place
220,Beasts get fat by change of pastures.,idea
221,A gradual diminishing of loudness.,idea
222,Most are brown and cream in colour.,thing
223,He died in hospital the next day.,place
224,Gray and black market provided for flow of goods.,idea
225,"At worst, he's dangerous.",idea
226,"Under Soviet domination, Armenian folk music was taught in state-sponsored conservatoires.",idea
227,"The far less contributory precursor, Saint Marylebone, was a Conservative safe seat.",place
228,Pinky and Perky!,person
229,The band takes music from all aspects of his lengthy career.,idea
230,She tells him she wants only the best for him.,idea
231,Newborn finless porpoises are reported to in length.,thing
232,He is also eligible to represent Nigeria at international level.,person
233,Most children were from former Soviet republics and former Yugoslavia.,place
234,The train operates local on the entire line at all times.,thing
235,"It travels from Atlanta to Turners Corner, north-northeast of Dahlonega.",place
236,"VeilSide produces a bodykit called ""Fortune"" which replaces all body panels except the roof.",thing
237,"Ultimately, Anney returns to Glen.",place
238,But these things happen so often!,idea
239,Titles in the franchise have received a variety of awards.,idea
240,Negrete has led a more quiet life in Mexico since he retired from playing.,person
241,"""Don't dream of moving,"" said Rowe.",person
242,"The ballad features little more than piano, and was delivered in falsetto.",thing
243,"After serving three years in prison, he studied journalism at Norfolk State University.",place
244,Harlyckan has been the club's home ever since.,place
245,"That song is also included on the band's album ""Introducing Happiness"".",thing
246,It is now long and wide.,thing
247,"Prime Minister Scott Morrison described the allegations as ""deeply disturbing and troubling"".",person
248,Crosbie is married and has three children.,person
249,It was also the site of severe civil strife and labour conflicts.,place
250,The division was part of the German advance to the English Channel through Belgium.,place
251,It is formed by adding a -u to the verb stem.,idea
252,This is a major question in monetary reform.,idea
253,"International waters have no sovereignty, ergo is ""Terra nullius"" as no state controls it.",idea
254,He also founded an institute devoted to the theories of Confucianism.,idea
255,The opening can then be permanently tied off or clamped temporarily.,thing
256,He would fight and survive action at the Battle of Vimy Ridge.,place
257,Forensic work is now contracted out to the private sector or carried out in-house.,idea
258,The island has many schools and participates in student exchanges with schools in Athens.,place
259,Rokola is a name of the son of Degei.,person
260,Gerald Massey's monumental work on African origins suggested that the poem reflected Egyptian religion.,idea
261,This forced the school to take up collections to meet its payroll.,idea
262,It borders the state of Kentucky.,place
263,Most farmers grow Jao rice.,thing
264,It falls under the command of the Ministry of Defense of Georgia.,thing
265,"She released her debut single ""Blondes"" with Capitol.",person
266,"As such, the molecule can be viewed as a derivative of acrolein.",thing
267,Some flavors are distributed only to limited market areas.,idea
268,"These often have plastic blades, which are adequate for the soft wax.",thing
269,Alexander Goedicke was Nikolai Medtner's first cousin.,person
270,He is only seen in the later part of the series.,idea
271,Another report discusses possible Chinese espionage at natural gas facilities.,idea
272,Clara grows suspicious of what the four are up to and confronts Cal.,person
273,It is found in cool waters of the Southern Hemisphere.,place
274,Democrat State Senator Martin Quezada is running for the Democratic nomination.,person
275,John Frankenheimer was the director and Martin Manulis the producer.,person
276,"He was known as the ""Kerry Packer of Sri Lankan cricket"".",person
277,Harmony vocals during the last minute of the song were provided by Janie Fricke.,person
278,"Dangers on the upper river include shallow, extremely braided channels, and aufeis.",thing
279,I took myself to have reached the ultimate.,idea
280,Musicians Liam Lynch and Matt Crocco created and performed the series.,person
281,Some Alpha Beta stores carried more than the customary supermarket merchandise.,thing
282,I am quite surprised that the restaurant finally fixed the lighting problem.,place
283,The goalie is showing off his reflexes today.,person
284,There are also several prototypes and test airframes at the three manufacturing sites.,thing
285,Weller was the guest yell-king during the Huskies' homecoming football game against Stanford.,person
286,It's the very core feeling we should have in making games.,idea
287,"Although strictly charged to ensure its safety, Harris lost the manuscript.",thing
288,"Lally once tried to be romantic with Giulio, but was rejected.",person
289,Oral narcotic medications are also often used.,thing
290,Instant miso soup is available in single-serving packets.,thing
291,Cloud State University.,place
292,There are playing fields.,place
293,Its reporters network covers all of Kyushu.,place
294,Similarities in nominal and pronominal prefixes determine what noun belongs to what noun class.,idea
295,Five railway stations are currently in operation.,place
296,I haven't any watch.,thing
297,"There are many local cultures around the world, with similarities and differences.",idea
298,"Ricks also notes several references to ""gates"" in that Book, as in Dylan's song.",idea
299,It is built from the remains of three old barns and a stable.,thing
300,"The ""Gold Coast Aquatic Centre"" is located on Marine Parade adjacent to Southport Broadwater.",place
301,The Town of Hartland is on the eastern border of the county.,place
302,It is the third and final film in the Qatsi trilogy.,thing
303,The organisation's purpose was local experience sharing and networking.,idea
304,"Pandorus was a very accomplished archer who fought in Homer's ""Iliad"".",person
305,Arthur Edwards founded the Detroit and Cleveland Steamboat Company in Trenton.,person
306,It is marketed by AstraZeneca and Teva.,thing
307,"Geoffrey, son of Hamon, then held over Goodwin.",person
308,Its publisher is Die Presse Verlag GmbH.,thing
309,I write everything down in my notebook.,thing
310,These are aspects of procedural law.,idea
311,A film has yet to be produced.,thing
312,He won the subsequent by-election with a strong majority.,person
313,"He worked a great deal from memory, using everybody he knew.",person
314,"The Bohemian estates, however, were not willing to support Charles in these ventures.",idea
315,"At these locations, he learns about and participates in a local occupation.",place
316,"There are Maundy coins in denominations of one, two, three and four pence.",thing
317,She was captured by the French one year later.,person
318,"But after the winter break, there was a remarkable turnaround.",idea
319,"Nick plays drums, and Hannah is on bass.",person
320,Some winter in California and southwestern Arizona.,place
321,"All eyes, however, were staring at him in certitude of expectancy.",idea
322,"During his long career, he received many honours and awards.",person
323,"Robbery, bribery, fraud,",idea
324,"As we've missed the deadline, I think we should postpone the meeting.",idea
325,The commanding officer of such a brigade was a lieutenant colonel.,person
326,"Patinkin has described himself as ""Jewish with a dash of Buddhist"" belief.",idea
327,It has a greenish yellow to brown colour and forms nodules or crusts.,thing
328,"However, Nanda enjoyed no spiritual happiness.",idea
329,The Aberllefenni slate quarries are now all closed.,place
330,"After this conviction, he was found guilty of four stink bomb attacks.",thing
331,The Town of Fort Smith in the Northwest Territories is named after Donald Smith.,place
332,The school's academic offerings cover a diverse range of technical fields.,idea
333,I'm trying to prove it.,idea
334,Zoos franchises are a disgrace to the global animal rights movement.,idea
335,Many species are day-flying with metallic patterns.,thing
336,Recorded by Yuri Nikulin himself.,person
337,"The song can be found on Bonnie's album ""Secret Dreams and Forbidden Fire"".",thing
338,President Bongo has remained involved in the continuing Congolese peace process.,person
339,"As time goes by, sprouts mature into fully developed stone wall trees.",thing
340,She studied zoology and English literature at Victoria University of Wellington.,place
341,These victories gained him great favor with Mexico's labor unions.,idea
342,He must observe a fast and may neither drink nor bathe.,idea
343,"He later reintroduced meat and fish, but in smaller doses.",thing
344,Washburn's partner is wounded in the arm and the Cubans escape.,idea
345,A one-year Microscopy Certificate is also offered.,idea
346,He returned to Red Star on loan for the rest of the season.,place
347,She married Mr Donkor with whom she has three daughters.,person
348,His name has not been publicly released and he currently awaits trial.,person
349,While at Boston College she was the captain of the tennis team.,person
350,"However, disease control is reasonably successful for most crops.",idea
351,He was succeeded in turn by James Gillespie.,person
352,"His father and an uncle, J. P. Dake of Nashville, Tennessee, were also homeopaths.",person
353,"Born in Larvik, Halle started his youth career in local club Nesjar.",person
354,"As a result, a Civilian Conservation Corps camp was opened in the area.",place
355,Hertz is one of the first of Danish lyrical poets.,person
356,Rastafari meetings are opened and closed with prayers.,idea
357,"It is levorotary, and on warming with alkalis gives iso-ecgonine, which is dextrorotary.",idea
358,"Push factors motivating Christians to emigrate include religious discrimination, persecution, and cleansing.",idea
359,"Such restaurants are often located on upper stories of hotels, communication towers, and skyscrapers.",place
360,"However, the Parliament frustrated always such attempts, echoing the public opinion in Britain.",idea
361,The suburb eventually became known as Shirley after the church.,place
362,It is a law enforcement agency.,thing
363,Mix the flour and butter and pour into a baking tray.,thing
364,She was perfectly happy.,idea
365,"Berliner and Farwell adapted them for use in perfecting ""machines"" produced for vertical flight.",thing
366,The trail then follows the Goyt Valley towards Stockport.,place
367,"""We're kindred spirits"", Emmett told a newspaper at the time.",idea
368,"It is supported by the international secretariat, located in Oslo, Norway.",place
369,A vast company restructuring plan began.,idea
370,"As a result, they are conceptually similar.",idea
371,"Furthermore, all Chase members starred together in a number of Japanese horror movies.",thing
372,He retired as the General Editor of the Mangalam daily.,person
373,It does have a reasonably high solubility in non-polar molecules such as oils.,thing
374,Molar and mass concentration have different values in space where diffusion happens.,idea
375,"The sphere atop the tower has been called the ""world's largest light bulb"".",thing
376,A call to customer support is required to reset the activation limit.,idea
377,"The organization and personnel are described further, in a collection of linked web sites.",idea
378,The Red Tornado football program currently ranks first in the state in all-time wins.,idea
379,"The blazon of the municipal coat of arms is Azure, a Horse-shoe Or.",thing
380,He left the council on his election to Westminster.,place
381,But he was dropped and never regained a Test place.,person
382,"We should all go back to living in the trees, much simpler.",idea
383,The merged club started in the Premier Division of the Cambridgeshire League.,place
384,He studied medicine at Leipzig.,place
385,Milburn lost to Tishomingo.,place
386,The newest artist is Young Prince.,person
387,Clinical tests involving humans have been performed.,idea
388,Other benefits to the English were longer term.,idea
389,It is named after the nearby Mount Karisimbi.,place
390,"The appearance of the dragon reflects its influences from its counterpart, the Chinese dragon.",thing
391,Each Girl Scout council operates its own cookie sale.,idea
392,While in the West he maintained a busy directing career.,idea
393,"Its main income sources were crematorium and columbarium services, prayer services and donations.",thing
394,"After defeating Shotgun, Daredevil detects Myers on an adjacent rooftop.",person
395,"See here, on my arm!",thing
396,"She was watching the woman, and she was watching him fascinated with terror.",person
397,"But you are late too, and look weary.",idea
398,Is that a bargain?,idea
399,It measures the sigma distance of actual data from the average.,idea
400,The Iroquoian languages are polysynthetic and head-marking.,idea
401,"Johannes may have been a composer, though no music attributed to him has survived.",person
402,"A human pregnancy normally lasts nine months, the basis of Naegele's rule.",idea
403,"Because of this, Williams acquired the popular nickname Soapy.",person
404,"If things were alive, they must have souls.",idea
405,Schenkman was replaced by Anthony Krizan.,person
406,Thongdrels are stored rolled up.,thing
407,Following this it was acquired by Nordea and renamed PlusGirot.,thing
408,"The term ""topological dimension"" is ordinarily understood to refer to Lebesgue covering dimension.",idea
409,The Coalmont Bank Building also is listed.,place
410,"Hollins has also appeared in several ""Hollyoaks"" spin offs.",person
411,"Plante found it especially strange since ""Rick and Morty"" is ""fucked up"".",person
412,These scenes are surrounded by ornamental borders covering the remaining areas.,thing
413,She also received an Academy Award nomination for both films.,person
414,"Too Short provides the intro on ""Tap In"".",person
415,"It is referred to by some sign linguists as ""Eurosigns"".",idea
416,The strip's presence ignited a controversy across many campuses.,idea
417,He is a single and has no children.,person
418,There is no charge to walk around on the boardwalk.,place
419,"Nawaz has played only one Test, against Bangladesh.",person
420,Many locations in the city are prized for their scenic outlooks.,place
421,The largest city on the bay is Korsakov.,place
422,"Angered, and shocked that Mina is able to resist him, Dracula vanishes.",person
423,These attacks resulted in huge damage to the town.,place
424,Both the genus and species were first described and published in Bull.,idea
425,John had to ask permission from King Robert to suspend his service.,person
426,Rostrum rather broader than long.,thing
427,After this initial production she promptly gave up acting.,person
428,He engaged in the real estate and building business.,thing
429,It is a common misconception that Long Eaton is part of Nottinghamshire.,place
430,"They play the Germs song ""Sex Boy"" at The Masque.",place
431,"“My word, you are loaded!” he exclaimed, putting down his brush.",thing
432,"Over time, Radio Disney released more volumes of the ""Kid Jams"" series.",thing
433,"The town has trolley, tram and bus systems.",place
434,"Kenny was born of Irish descent in Lindsay, Ontario.",person
435,Alternative forms of her name include Mama and Mammitum.,idea
436,He died in Christchurch.,place
437,Anoka is a northern suburb of the Twin Cities.,place
438,Alonso also claimed fastest lap along with his pole and victory.,person
439,"The Roots have received the most nominations without a win, with five.",person
440,"The locals were actually hunting the caribou, for a sport and a food source.",thing
441,"Chavez utilizes angular, asymmetrical riffs and dramatic dynamic shifts.",idea
442,"Although he tries to resist, he eventually succumbs to the lure of money.",idea
443,"IronMind's slogan, ""Stronger Minds, Stronger Bodies,"" reflects the company's roots in sports psychology.",idea
444,The current summit cone was developed within the earlier caldera.,thing
445,"The book ends with Amory's iconic lament, ""I know myself, but that is all"".",idea
446,Medieval Sarum also seems to have had industrial facilities such as kilns and furnaces.,place
447,The server software runs equally well on Unix and Windows.,thing
448,Beaver Lake and Pine Lake are the two biggest lakes in Sammamish.,place
449,He was very outspoken about freedom and doing what you want.,idea
450,"It is also the study of cataloguing and accession, of retrieval and safe handling.",idea
451,The new cover hardens more or less quickly.,thing
452,"Some of them affect security in all its forms: political, material and economic.",idea
453,I had to punished them with the spurs for a faster pace.,thing
454,"A comprehensive school is located in Benndorf, the nearest grammar school is in Hettstedt.",place
455,Her father was an engineer and her mother an accountant.,person
456,It borders the state of Nebraska.,place
457,"A variant name is ""Sharps Creek"".",place
458,She was an American socialite and first lady of the United States.,person
459,She was at no pains to wear a mask.,idea
460,As you have done so many years.,idea
461,Break down a big job into small tasks to complete it fast.,idea
462,Do we have to?,idea
463,Payne returned to Indiana University where he was made associate professor.,person
464,"More recently, Lance Klusener and Monty Panesar have been notable players.",person
465,Another example is the oil pan of an engine.,thing
466,The Ansonia Rescue Medical Service provides ambulance and rescue services to the city.,thing
467,"Also, no allegation of counting fraud were brought up.",idea
468,Bitburg Middle-High School offers many Advanced Placement courses through the College Board program.,place
469,The lake is a popular fishing destination in the region.,place
470,"They became Tottenham Hotspur's nearest club, commencing the North London derby.",idea
471,Isotope dilution can be likened to Lincoln-Petersen method.,idea
472,His grandnephew was the Irish musician and music collector Arthur Warren Darley.,person
473,"The Byzantine chronicler, Chalcondyles, wrote: In this battle, Arianit Komneni won a glorious victory.",person
474,"The island is mentioned by the Roman satirist, Juvenal, in Sat.",place
475,"The first Class newsletter, ""Jet Blasts,"" was published and a regatta schedule was created.",thing
476,Camping and fires are not permitted within the park.,place
477,Only if the spam continued after this complaint was the source listed.,idea
478,Was any one inside the car?,thing
479,"Do your duty, but be careful not to overstep it.",idea
480,"‘No, I don’t think it is,’ he said: ‘at least—not under here’.",idea
481,"""We can't go back now,"" said Adele in a frantic whisper.",person
482,"Linz was born in Bonn, Germany.",place
483,The original station building was designed by Thomas Mainwaring Penson.,place
484,"Friedman would not stop, and called Lisandro a ""thief"".",person
485,It would also stand to foreshadow several future conflicts between the Ottomans and Russia.,idea
486,"The former route was named Old Saint Charles Rock Road, now Boenker Road.",place
487,He divorced her eight days later in order to marry Samantha Lewthwaite.,person
488,"In addition, the town is served by Kankan Airport.",place
489,It is located in Currie Street in the Adelaide central business district.,place
490,"Julius was a consulting engineer, based in Sydney.",person
491,"The species differ in skull proportions, skull punctuation and skull bone patterns.",thing
492,The underbody may be weighted with lead or tungsten wire.,thing
493,"During his first term, Deukmejian won the voters' approval.",person
494,"After that foul, the whole stadium was yelling angry things.",place
495,The winner of the game then moves on to the final round.,idea
496,They were quite clean.,thing
497,"Her father, Walter was a dentist.",person
498,The store became a regional Iconic Consumer brand.,idea
499,The official residence for Deputy Prime Minister of Malaysia is Sri Satria in Putrajaya.,place
500,These geological features are what are chiefly seen along San Andreas Fault.,place
501,It was named after the Duke of Marlborough.,person
502,"He, however, remained on the board of its successor, Hawker Siddeley until his death.",person
503,It's been days since we've heard anything.,idea
504,He rarely spoke to me of anything that didn't directly relate to our work.,idea
505,They were planning to get married in June.,idea
506,That's admirable,idea
507,Degrees are not granted until completion of both graduate and medical requirements.,idea
508,"They wanted to expand the game ""Umoria"" by adding items, monsters, and features.",thing
509,"The record label, Magnatune, released her ambient album, ""The Ice Castle"".",thing
510,It premiered with Mudvayne's Happy?,thing
511,Wood's involvement in the Avant Garde began with her introduction to Marcel Duchamp.,person
512,Greer has played Joan of Arc at the Theatre Atelier in Paris.,person
513,No other option is available under these circumstances.,idea
514,Those masons left their mark on the city and the surrounding county of Letcher.,place
515,These latter two albums produced no chart singles.,thing
516,"The kingdom prohibited migration of islanders, isolating them to prevent group resistance.",idea
517,Kingston got its name from King George of England.,place
518,The earthworks may have been designed to keep out wild animals rather than people.,idea
519,"He began working on his next novel, ""Frisk"".",thing
520,Its capital is the town of Purwokerto.,place
521,"Later band members included Pete Barnacle, Bryson Graham, and Pete Bonas.",person
522,Point and figure charting does not plot price against time as time-based charts do.,idea
523,Big Snow American Dream is the first indoor ski park in North America.,place
524,Rung is married and has three children.,person
525,Her research consider urban mental health and inequality in mental health provision.,idea
526,Assembly takes place before the competition starts.,idea
527,"Most game levels feature side-scrolling fighting, with free movement as in traditional arcade brawlers.",thing
528,Membership of the association is not lightly acquired.,idea
